Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-05-21 07:32:56.853 -0400,"Success",0:00:01,0,0,0,"20240521_073256.853/LogFile.txt","","",1
2024-05-21 07:37:55.128 -0400,"Failure",0:00:24,1,0,0,"20240521_073755.128/LogFile.txt","","Image Not Found -- set Error - Unable To Find Image: Syringe/2/rect_Syringe_2_A  Restricted Search Rectangle ((198,28),(1911,153))\n",0
2024-05-21 07:38:39.708 -0400,"Aborted",0:00:00,0,0,0,"20240521_073839.708/LogFile.txt","","",1
2024-05-21 07:39:01.308 -0400,"Aborted",0:00:46,1,0,0,"20240521_073901.308/LogFile.txt","","",0
2024-05-21 07:40:20.065 -0400,"Success",0:00:28,0,0,0,"20240521_074020.065/LogFile.txt","","",1
2024-05-21 08:12:00.666 -0400,"Aborted",0:00:05,1,0,0,"20240521_081200.666/LogFile.txt","","",0
2024-05-21 08:13:37.227 -0400,"Success",0:01:20,0,0,0,"20240521_081337.227/LogFile.txt","","",1
2024-05-21 08:31:16.387 -0400,"Aborted",0:06:49,1,0,0,"20240521_083116.387/LogFile.txt","","",0
2024-05-21 08:38:19.321 -0400,"Aborted",0:00:21,1,0,0,"20240521_083819.321/LogFile.txt","","",0
2024-05-21 08:38:49.237 -0400,"Aborted",0:00:50,1,0,0,"20240521_083849.237/LogFile.txt","","",0
2024-05-21 08:39:40.948 -0400,"Aborted",0:01:19,1,0,0,"20240521_083940.948/LogFile.txt","","",0
2024-05-21 08:41:09.882 -0400,"Aborted",0:01:04,1,0,0,"20240521_084109.882/LogFile.txt","","",0
2024-05-21 09:07:18.614 -0400,"Failure",0:00:20,1,0,1,"20240521_090718.614/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: Syringe/Medicine/rect_B",0
2024-05-21 12:54:01.356 -0400,"Aborted",0:01:15,1,0,0,"20240521_125401.356/LogFile.txt","","",0
2024-05-21 12:55:41.503 -0400,"Aborted",0:00:02,1,0,0,"20240521_125541.503/LogFile.txt","","",0
2024-05-21 12:55:46.711 -0400,"Aborted",0:00:51,1,0,0,"20240521_125546.711/LogFile.txt","","",0
2024-05-21 12:59:00.577 -0400,"Failure",0:00:16,1,0,0,"20240521_125900.577/LogFile.txt","","Invalid Range -- Only numeric, date/time, and character ranges are supported (got ""{Medication:""Morp..."" TO """").",0
2024-05-21 13:00:21.392 -0400,"Aborted",0:00:42,1,0,0,"20240521_130021.392/LogFile.txt","","",0
2024-05-21 13:03:11.887 -0400,"Aborted",0:00:48,1,0,0,"20240521_130311.887/LogFile.txt","","",0
2024-05-21 13:26:22.080 -0400,"Aborted",0:02:46,1,0,0,"20240521_132622.080/LogFile.txt","","",0
2024-05-21 13:29:15.538 -0400,"Aborted",0:00:38,1,0,0,"20240521_132915.538/LogFile.txt","","",0
2024-05-21 13:48:39.091 -0400,"Aborted",0:00:55,1,0,0,"20240521_134839.091/LogFile.txt","","",0
2024-05-21 13:51:41.773 -0400,"Aborted",0:02:44,1,0,0,"20240521_135141.773/LogFile.txt","","",0
2024-05-21 13:54:36.146 -0400,"Aborted",0:02:04,1,0,0,"20240521_135436.146/LogFile.txt","","",0
2024-05-21 13:56:48.049 -0400,"Aborted",0:01:21,1,0,0,"20240521_135648.049/LogFile.txt","","",0
2024-05-21 13:58:12.002 -0400,"Aborted",0:01:25,1,0,0,"20240521_135812.002/LogFile.txt","","",0
2024-05-21 13:59:39.133 -0400,"Aborted",0:00:56,1,0,0,"20240521_135939.133/LogFile.txt","","",0
2024-05-21 14:01:00.908 -0400,"Aborted",0:04:39,1,0,0,"20240521_140100.908/LogFile.txt","","",0
2024-05-21 14:05:41.186 -0400,"Aborted",0:00:50,1,0,0,"20240521_140541.186/LogFile.txt","","",0
2024-05-21 14:06:43.133 -0400,"Aborted",0:01:45,1,0,0,"20240521_140643.133/LogFile.txt","","",0
2024-05-21 14:08:36.600 -0400,"Aborted",0:03:16,1,0,0,"20240521_140836.600/LogFile.txt","","",0
2024-05-21 14:11:55.933 -0400,"Aborted",0:02:39,1,0,0,"20240521_141155.933/LogFile.txt","","",0
2024-05-21 15:26:14.497 -0400,"Aborted",0:00:09,1,0,0,"20240521_152614.497/LogFile.txt","","",0
2024-05-21 15:34:08.846 -0400,"Aborted",0:00:28,1,0,0,"20240521_153408.846/LogFile.txt","","",0
2024-05-22 11:07:55.847 -0400,"Aborted",0:00:01,1,0,0,"20240522_110755.847/LogFile.txt","","",0
2024-05-22 11:34:26.359 -0400,"Success",1:32:44,0,0,0,"20240522_113426.359/LogFile.txt","","",1
2024-05-22 13:07:24.458 -0400,"Aborted",0:01:10,1,0,0,"20240522_130724.458/LogFile.txt","","",0
2024-05-22 13:13:08.538 -0400,"Aborted",0:11:54,1,0,0,"20240522_131308.538/LogFile.txt","","",0
2024-05-22 15:16:10.593 -0400,"Aborted",17:00:58,1,0,0,"20240522_151610.593/LogFile.txt","","",0
