Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-05-24 10:23:00.186 -0400,"Success",0:01:53,0,0,0,"20240524_102300.186/LogFile.txt","","",1
2024-05-24 16:34:20.284 -0400,"Failure",0:00:32,1,0,0,"20240524_163420.284/LogFile.txt","","File Not Found -- set Error - Could Not Open Image: Syringe/1/Area/rect_A",0
2024-05-24 16:35:34.710 -0400,"Success",0:01:33,0,0,0,"20240524_163534.710/LogFile.txt","","",1
2024-05-24 16:49:40.239 -0400,"Aborted",0:01:44,1,0,0,"20240524_164940.239/LogFile.txt","","",0
2024-05-24 16:56:41.557 -0400,"Failure",0:00:33,1,0,0,"20240524_165641.557/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Inject Dosage'.",0
2024-05-24 16:57:47.243 -0400,"Failure",0:00:11,1,0,0,"20240524_165747.243/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Inject Dosage'.",0
2024-05-24 16:58:23.492 -0400,"Failure",0:00:12,1,0,0,"20240524_165823.492/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Inject Dosage'.",0
2024-05-24 16:58:54.459 -0400,"Failure",0:00:11,1,0,0,"20240524_165854.459/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Inject Dosage'.",0
2024-05-24 16:59:55.522 -0400,"Aborted",0:01:19,1,0,0,"20240524_165955.522/LogFile.txt","","",0
2024-05-24 17:01:24.077 -0400,"Success",0:01:51,0,0,0,"20240524_170124.077/LogFile.txt","","",1
2024-05-24 17:06:36.353 -0400,"Aborted",0:02:26,1,0,0,"20240524_170636.353/LogFile.txt","","",0
2024-05-24 17:11:27.418 -0400,"Failure",0:00:48,1,0,0,"20240524_171127.418/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got ""1"" TO ""{Concentration:""0..."")",0
2024-05-24 17:16:07.893 -0400,"Failure",0:00:27,1,0,0,"20240524_171607.893/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got ""1"" TO ""{Concentration:""0..."")",0
2024-05-24 17:16:56.678 -0400,"Failure",0:00:29,1,0,0,"20240524_171656.678/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got ""1"" TO ""{Concentration:""0..."")",0
2024-05-24 17:17:46.546 -0400,"Aborted",0:02:26,1,0,0,"20240524_171746.546/LogFile.txt","","",0
2024-08-15 17:47:51.572 -0400,"Aborted",0:01:15,1,0,0,"20240815_174751.572/LogFile.txt","","",0
